date_found,channel,video_title,url,published_date,views,duration,pillar,hook_type,title_formula,thumbnail_text,thumbnail_layout,thumbnail_colors,comment_themes,idea_signal
2026-06-06,Doctor Laura,THE BIG MAGNESIUM MISTAKE THAT WASTES 96% OF EVERY PILL,https://www.youtube.com/watch?v=M6faT7EdK7s,2026-06-05,404,20.7,Food + Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-06-06,Doctor Laura,"Bloating After Every Meal At 60? It's SIBO — Not Age, Not Food (Here Are The 5 Signs)",https://www.youtube.com/watch?v=-IlrNH-fN8o,2026-06-03,653,17.1,Food + Warning,Question hook,[X] Signs [Time Period] Before [Disaster],,,,,LOW — Too early to assess
2026-06-06,Doctor Laura,This One Muscle Is Destroying Your Leg Circulation (And You Don't Even Know It),https://www.youtube.com/watch?v=vtSotA90QQ0,2026-06-01,4887,19.9,Sleep / Night Peeing,Destruction claim,Custom,,,,,LOW — Too early to assess
2026-06-06,Doctor Laura,DO THIS NIGHTLY — AND TARTAR STOPS COMING BACK IN 14 DAYS,https://www.youtube.com/watch?v=TNMGB3e7ccg,2026-05-30,6555,24.1,Food + Warning,STOP warning,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. James Hargrove,Doctor WARNS: 7 Mini-Stroke Signs After 60 (Everyone Ignores #3),https://www.youtube.com/watch?v=ETIWFwR1SV4,2026-05-30,557,19.2,Food + Warning,Authority warning,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. Michael Kent,What Amlodipine Does to Your Body After 5 Years,https://www.youtube.com/watch?v=F3phhk_savo,2026-06-05,415,23.3,Medication Warning,Informational,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. Adewale,SENIORS: 3 Simple Steps To Lower Your Blood Pressure Naturally,https://www.youtube.com/watch?v=3tMSHAnGKh4,2026-06-01,2059,26.0,Food + Warning,Simple habit,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. Favor Adeyemi,High Creatinine? Over 50? Do These 4 Things IMMEDIATELY | Dr. Favor,https://www.youtube.com/watch?v=9kspG_44Sng,2026-06-06,132,15.6,Food + Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. Favor Adeyemi,"Taking Amlodipine, Losartan, or Lisinopril for BLOOD PRESSURE? Here's What Many ELDERS Don't Know",https://www.youtube.com/watch?v=wB4X7wQ-E3Y,2026-06-04,4099,17.7,Medication Warning,Question hook,Custom,,,,,LOW — Too early to assess
2026-06-06,Dr. Favor Adeyemi,Seniors: Eat THIS Every Morning to STOP Leg Muscle Loss Naturally | Dr. Favor,https://www.youtube.com/watch?v=ujooyZ5SVVM,2026-06-03,1844,16.0,Food + Warning,STOP warning,Custom,,,,,LOW — Too early to assess
