release_order,long_form_title,pillar,persona,score,target_length,script_words,short_upload_topic,thumbnail_a_text,thumbnail_b_text,primary_safety_note,status
1,"Dr. Victor Kane: NEVER Reheat These 5 Foods After 60","Food + Warning","Persona B",18,"15 min","2400-2800","The single riskiest reheated food mistake","STOP REHEATING THIS","SENIORS BEWARE","Frame as food-safety and storage guidance; avoid unsupported absolute cancer claims.","Idea approved"
2,"Dr. Victor Kane: Waking at 2 AM After 60? Not Your Bladder","Sleep/Night Peeing","Persona B",19,"15 min","2400-2800","Why the bladder may only be the alarm","NOT YOUR BLADDER","2 AM WARNING","Encourage medical evaluation for persistent nocturia, sleep apnea signs, swelling, or blood sugar symptoms.","Idea approved"
3,"Dr. Victor Kane: NEVER Take These 5 Pills After 60 Without Asking","Medication Warning","Persona A",19,"15-16 min","2500-2800","The one medicine-cabinet question seniors must ask","ASK FIRST","5 PILLS AFTER 60","Never tell viewers to stop medication; say talk to your doctor and specifically ask about risks and alternatives.","Idea approved"
4,"Dr. Victor Kane: 90-Second Routine Beats Walking After 60","Exercise","Persona B",18,"14-15 min","2400-2600","One movement that helps people who cannot walk long","90 SECONDS!","BETTER THAN WALKING","Include stop signs: dizziness, chest pain, severe shortness of breath, or fall risk.","Idea approved"
5,"Dr. Victor Kane: 5 Foods Shrinking Your Brain After 60","Brain/Memory","Persona B",20,"15 min","2400-2800","The everyday food that hits memory hardest","BRAIN WARNING","5 FOODS AFTER 60","Use careful language around risk support and brain health; avoid claiming a food directly causes dementia.","Idea approved"
6,"Dr. Victor Kane: 3 Fixes for Knee Pain After 60","Pain/Joints","Persona B",19,"14-15 min","2400-2600","The knee-pain cause that is not wear and tear","KNEE PAIN?","REAL CAUSE","Tell viewers to seek care for sudden swelling, locking, falls, fever, or severe pain.","Idea approved"
7,"Dr. Victor Kane: 7 Leg Warning Signs After 60","Leg/Circulation","Persona B",20,"15-16 min","2500-2800","The leg signal most people ignore first","LEG WARNING","7 SIGNS AFTER 60","Encourage evaluation for persistent swelling, wounds, discoloration, chest symptoms, or walking pain.","Idea approved"
8,"Dr. Victor Kane: 5 Drinks for Leg Blood Flow After 60","Leg + Food","Persona B",19,"15 min","2400-2800","One simple drink timing mistake","BLOOD FLOW","5 DRINKS AFTER 60","Mention blood pressure medication interactions for hibiscus/beet/pomegranate-style drinks.","Idea approved"
9,"Dr. Victor Kane: 30-Second Muscle Test After 60","Muscle/Strength","Persona B",19,"14-15 min","2400-2600","The chair test that exposes hidden weakness","MUSCLE TEST","30 SECONDS","Use stable chair/wall support; advise skipping test if unsafe, dizzy, or recovering from injury.","Idea approved"
10,"Dr. Victor Kane: 9 Night Habits Hurting You After 60","Warning/Night Habits","Persona A",19,"15-16 min","2500-2800","The night habit that stresses the heart","DEATH IS CLOSE","9 NIGHT HABITS","Keep urgent tone but close with a practical bedtime safety reset and doctor questions.","Idea approved"
